COMPANY & TICKER,,REC DATE,TEAM,RISK,MARKET CAP,ADJ REC PRICE,RETURN,S&P RETURN,VS. S&P RETURN,FAVORITES
,Darling Ingredients,9/21/12,David,16,$4B,$18.14 ,32.10%,149.10%,-117.00%,Add DAR to your Favorites
,DAR,,,,,,,,,
,Booking Holdings,8/17/12,Tom,,$67B,$588.78 ,176.30%,157.00%,19.30%,Add BKNG to your Favorites
,BKNG,,,,,,,,,
,Kinder Morgan,8/17/12,David,11,$35B,$24.71 ,-37.20%,157.00%,-194.20%,Add KMI to your Favorites
,KMI,,,,,,,,,
,Alphabet (C shares) and Alphabet (A shares) Corporate Action Details,7/20/12,Tom,,N/A Corporate Action Details,N/A Corporate Action Details,368.50%,168.00%,200.50%,N/A Corporate Action Details
,GOOG GOOGL,,,,,,,,,
,TransDigm Group,7/20/12,David,12,$25B,$67.00 ,591.00%,168.00%,423.00%,Add TDG to your Favorites
,TDG,,,,,,,,,
,3D Systems,6/15/12,David,17,$871M,$19.74 ,-62.90%,172.50%,-235.30%,Add DDD to your Favorites
,DDD,,,,,,,,,
,Robert Half International,5/16/12,Tom,,$6B,$24.58 ,107.90%,176.70%,-68.80%,Add RHI to your Favorites
,RHI,,,,,,,,,
,LKQ,5/16/12,David,14,$8B,$18.08 ,43.50%,176.70%,-133.20%,Add LKQ to your Favorites
,LKQ,,,,,,,,,
,Heico,4/20/12,Tom,,$13B,$15.74 ,606.90%,166.40%,440.50%,Add HEI to your Favorites
,HEI,,,,,,,,,
,Clean Energy Fuels,3/16/12,David,13,$428M,$21.05 ,-89.90%,162.00%,-251.80%,Add CLNE to your Favorites
,CLNE,,,,,,,,,
,Ulta Beauty,1/20/12,Tom,,$12B,$75.42 ,181.40%,180.70%,0.70%,Add ULTA to your Favorites
,ULTA,,,,,,,,,
,3D Systems,1/20/12,David,17,$871M,$12.27 ,-40.20%,180.70%,-220.90%,Add DDD to your Favorites
,DDD,,,,,,,,,
,Oceaneering International,11/18/11,Tom,,$663M,$39.98 ,-83.30%,204.80%,-288.10%,Add OII to your Favorites
,OII,,,,,,,,,
,Starbucks,11/18/11,David,9,$88B,$18.25 ,313.00%,204.80%,108.20%,Add SBUX to your Favorites
,SBUX,,,,,,,,,
,Pegasystems,10/21/11,David,11,$8B,$17.21 ,449.70%,199.90%,249.80%,Add PEGA to your Favorites
,PEGA,,,,,,,,,
,Williams-Sonoma,9/16/11,Tom,,$7B,$27.14 ,215.50%,205.90%,9.60%,Add WSM to your Favorites
,WSM,,,,,,,,,
,Cummins,9/16/11,David,10,$26B,$78.17 ,123.00%,205.90%,-83.00%,Add CMI to your Favorites
,CMI,,,,,,,,,
,Corning,8/19/11,David,11,$20B,$11.49 ,132.50%,231.70%,-99.20%,Add GLW to your Favorites
,GLW,,,,,,,,,
,Balchem,7/15/11,Tom,,$3B,$42.98 ,111.00%,183.80%,-72.80%,Add BCPC to your Favorites
,BCPC,,,,,,,,,
,Apple,6/17/11,David,6,"$1,516B",$39.61 ,783.00%,194.10%,588.80%,AAPL is in your Favorites
,AAPL Starter,,,,,,,,,
,Sina and Weibo Corporate Action Details,4/15/11,David,12,N/A Corporate Action Details,N/A Corporate Action Details,-68.40%,184.40%,-252.80%,N/A Corporate Action Details
,SINA WB,,,,,,,,,
,II-VI,3/18/11,David,15,$4B,$23.16 ,112.30%,193.80%,-81.50%,Add IIVI to your Favorites
,IIVI,,,,,,,,,
,Tennant Company,1/21/11,Tom,,$1B,$33.62 ,89.70%,193.80%,-104.10%,Add TNC to your Favorites
